Listas que cumplen con capacidad
┌──────────────────────────┬────────────┬─────────────────┐
│ Lista                    │ Peso Total │ Beneficio Total │
├──────────────────────────┼────────────┼─────────────────┤
│ [:B, :C, :D, :E, :F, :G] │ 51         │ 390             │
│ [:E, :F, :H]             │ 42         │ 190             │
│ [:A, :E, :H]             │ 57         │ 190             │
│ [:B, :C, :E, :G]         │ 32         │ 190             │
│ [:C, :F, :I]             │ 48         │ 185             │
│ [:C, :D, :I]             │ 37         │ 185             │
│ [:B, :F, :I]             │ 50         │ 185             │
│ [:B, :D, :I]             │ 39         │ 185             │
│ [:B, :C, :E]             │ 25         │ 180             │
│ [:A, :C, :G]             │ 45         │ 180             │
│ [:A, :B, :G]             │ 47         │ 180             │
│ [:B, :F, :G]             │ 32         │ 180             │
│ [:C, :F, :G]             │ 30         │ 180             │
│ [:B, :D, :G]             │ 21         │ 180             │
│ [:C, :D, :G]             │ 19         │ 180             │
│ [:D, :G, :H, :I]         │ 56         │ 175             │
│ [:C, :E, :H, :I]         │ 60         │ 175             │
│ [:B, :D]                 │ 14         │ 170             │
│ [:C, :D]                 │ 12         │ 170             │
│ [:C, :E, :G, :H]         │ 42         │ 170             │
│ [:A, :B]                 │ 40         │ 170             │
│ [:A, :C]                 │ 38         │ 170             │
│ [:B, :F]                 │ 25         │ 170             │
│ [:C, :F]                 │ 23         │ 170             │
│ [:B, :E, :G, :H]         │ 44         │ 170             │
│ [:D, :H, :I]             │ 49         │ 165             │
│ [:E, :F, :G, :I]         │ 54         │ 165             │
│ [:F, :H, :I]             │ 60         │ 165             │
│ [:B, :C, :G, :I]         │ 50         │ 165             │
│ [:D, :E, :G, :I]         │ 43         │ 165             │
│ [:C, :E, :H]             │ 35         │ 160             │
│ [:B, :E, :H]             │ 37         │ 160             │
│ [:F, :G, :H]             │ 42         │ 160             │
│ [:D, :G, :H]             │ 31         │ 160             │
│ [:A, :G, :H]             │ 57         │ 160             │
│ [:E, :F, :I]             │ 47         │ 155             │
│ [:D, :E, :I]             │ 36         │ 155             │
│ [:B, :C, :I]             │ 43         │ 155             │
│ [:A, :H]                 │ 50         │ 150             │
│ [:A, :E, :G]             │ 44         │ 150             │
│ [:D, :H]                 │ 24         │ 150             │
│ [:D, :E, :G]             │ 18         │ 150             │
│ [:E, :F, :G]             │ 29         │ 150             │
│ [:F, :H]                 │ 35         │ 150             │
│ [:B, :C, :G]             │ 25         │ 150             │
│ [:C, :G, :H, :I]         │ 60         │ 145             │
│ [:D, :E]                 │ 11         │ 140             │
│ [:B, :C]                 │ 18         │ 140             │
│ [:E, :F]                 │ 22         │ 140             │
│ [:A, :E]                 │ 37         │ 140             │
│ [:B, :H, :I]             │ 55         │ 135             │
│ [:C, :E, :G, :I]         │ 47         │ 135             │
│ [:C, :H, :I]             │ 53         │ 135             │
│ [:B, :E, :G, :I]         │ 49         │ 135             │
│ [:B, :G, :H]             │ 37         │ 130             │
│ [:C, :G, :H]             │ 35         │ 130             │
│ [:B, :E, :I]             │ 42         │ 125             │
│ [:C, :E, :I]             │ 40         │ 125             │
│ [:D, :G, :I]             │ 36         │ 125             │
│ [:F, :G, :I]             │ 47         │ 125             │
│ [:C, :H]                 │ 28         │ 120             │
│ [:C, :E, :G]             │ 22         │ 120             │
│ [:B, :E, :G]             │ 24         │ 120             │
│ [:B, :H]                 │ 30         │ 120             │
│ [:F, :I]                 │ 40         │ 115             │
│ [:A, :I]                 │ 55         │ 115             │
│ [:E, :G, :H, :I]         │ 59         │ 115             │
│ [:D, :I]                 │ 29         │ 115             │
│ [:F, :G]                 │ 22         │ 110             │
│ [:D, :G]                 │ 11         │ 110             │
│ [:C, :E]                 │ 15         │ 110             │
│ [:A, :G]                 │ 37         │ 110             │
│ [:B, :E]                 │ 17         │ 110             │
│ [:E, :H, :I]             │ 52         │ 105             │
│ [:F]                     │ 15         │ 100             │
│ [:E, :G, :H]             │ 34         │ 100             │
│ [:D]                     │ 4          │ 100             │
│ [:A]                     │ 30         │ 100             │
│ [:C, :G, :I]             │ 40         │ 95              │
│ [:B, :G, :I]             │ 42         │ 95              │
│ [:E, :H]                 │ 27         │ 90              │
│ [:C, :I]                 │ 33         │ 85              │
│ [:B, :I]                 │ 35         │ 85              │
│ [:C, :G]                 │ 15         │ 80              │
│ [:B, :G]                 │ 17         │ 80              │
│ [:G, :H, :I]             │ 52         │ 75              │
│ [:C]                     │ 8          │ 70              │
│ [:B]                     │ 10         │ 70              │
│ [:H, :I]                 │ 45         │ 65              │
│ [:E, :G, :I]             │ 39         │ 65              │
│ [:G, :H]                 │ 27         │ 60              │
│ [:E, :I]                 │ 32         │ 55              │
│ [:E, :G]                 │ 14         │ 50              │
│ [:H]                     │ 20         │ 50              │
│ [:E]                     │ 7          │ 40              │
│ [:G, :I]                 │ 32         │ 25              │
│ [:I]                     │ 25         │ 15              │
│ [:G]                     │ 7          │ 10              │
│ []                       │ 0          │ 0               │
└──────────────────────────┴────────────┴─────────────────┘
